datetime,traffic_volume
2018-09-23 23:00:00,934
2018-09-24 00:00:00,509
2018-09-24 01:00:00,344
2018-09-24 02:00:00,219
2018-09-24 03:00:00,328
2018-09-24 04:00:00,888
2018-09-24 05:00:00,2954
2018-09-24 06:00:00,5747
2018-09-24 07:00:00,6591
2018-09-24 08:00:00,5900
2018-09-24 09:00:00,4936
2018-09-24 10:00:00,4351
2018-09-24 11:00:00,4468
2018-09-24 12:00:00,4531
2018-09-24 13:00:00,4433
2018-09-24 14:00:00,4816
2018-09-24 15:00:00,5443
2018-09-24 16:00:00,6307
2018-09-24 17:00:00,5562
2018-09-24 18:00:00,4167
2018-09-24 19:00:00,3253
2018-09-24 20:00:00,2559
2018-09-24 21:00:00,2084
2018-09-24 22:00:00,1392
2018-09-24 23:00:00,826
2018-09-25 00:00:00,527
2018-09-25 01:00:00,302
2018-09-25 02:00:00,234
2018-09-25 03:00:00,366
2018-09-25 04:00:00,880
2018-09-25 05:00:00,3063
2018-09-25 06:00:00,5833
2018-09-25 07:00:00,6568
2018-09-25 08:00:00,6080
2018-09-25 09:00:00,5083
2018-09-25 10:00:00,4385
2018-09-25 11:00:00,4458
2018-09-25 12:00:00,4580
2018-09-25 13:00:00,4716
2018-09-25 14:00:00,4973
2018-09-25 15:00:00,5748
2018-09-25 16:00:00,6597
2018-09-25 17:00:00,5734
2018-09-25 18:00:00,4320
2018-09-25 19:00:00,3058
2018-09-25 20:00:00,2765
2018-09-25 21:00:00,2282
2018-09-25 22:00:00,1571
2018-09-25 23:00:00,924
2018-09-26 00:00:00,543
2018-09-26 01:00:00,358
2018-09-26 02:00:00,227
2018-09-26 03:00:00,358
2018-09-26 04:00:00,890
2018-09-26 05:00:00,3052
2018-09-26 06:00:00,5930
2018-09-26 07:00:00,6193
2018-09-26 08:00:00,6032
2018-09-26 09:00:00,5320
2018-09-26 10:00:00,4523
2018-09-26 11:00:00,4721
2018-09-26 12:00:00,4793
2018-09-26 13:00:00,4624
2018-09-26 14:00:00,4928
2018-09-26 15:00:00,5693
2018-09-26 16:00:00,6334
2018-09-26 17:00:00,5954
2018-09-26 18:00:00,4661
2018-09-26 19:00:00,3639
2018-09-26 20:00:00,3197
2018-09-26 21:00:00,3475
2018-09-26 22:00:00,1973
2018-09-26 23:00:00,1209
2018-09-27 00:00:00,654
2018-09-27 01:00:00,421
2018-09-27 02:00:00,312
2018-09-27 03:00:00,373
2018-09-27 04:00:00,919
2018-09-27 05:00:00,3002
2018-09-27 06:00:00,5685
2018-09-27 07:00:00,6589
2018-09-27 08:00:00,5946
2018-09-27 09:00:00,5181
2018-09-27 10:00:00,4500
2018-09-27 11:00:00,4670
2018-09-27 12:00:00,4849
2018-09-27 13:00:00,4787
2018-09-27 14:00:00,4943
2018-09-27 15:00:00,5892
2018-09-27 16:00:00,6451
2018-09-27 17:00:00,5968
2018-09-27 18:00:00,4498
2018-09-27 19:00:00,3419
2018-09-27 20:00:00,2856
2018-09-27 21:00:00,2649
2018-09-27 22:00:00,2003
2018-09-27 23:00:00,1278
2018-09-28 00:00:00,699
2018-09-28 01:00:00,461
2018-09-28 02:00:00,301
2018-09-28 03:00:00,367
2018-09-28 04:00:00,870
2018-09-28 05:00:00,2751
2018-09-28 06:00:00,5521
2018-09-28 07:00:00,6401
2018-09-28 08:00:00,5798
2018-09-28 09:00:00,4791
2018-09-28 10:00:00,4574
2018-09-28 11:00:00,4863
2018-09-28 12:00:00,5066
2018-09-28 13:00:00,4898
2018-09-28 14:00:00,5193
2018-09-28 15:00:00,5838
2018-09-28 16:00:00,6188
2018-09-28 17:00:00,5695
2018-09-28 18:00:00,5104
2018-09-28 19:00:00,4286
2018-09-28 20:00:00,3538
2018-09-28 21:00:00,3058
2018-09-28 22:00:00,2713
2018-09-28 23:00:00,3544
2018-09-29 00:00:00,1733
2018-09-29 01:00:00,867
2018-09-29 02:00:00,524
2018-09-29 03:00:00,359
2018-09-29 04:00:00,425
2018-09-29 05:00:00,743
2018-09-29 06:00:00,1359
2018-09-29 07:00:00,2036
2018-09-29 08:00:00,3073
2018-09-29 09:00:00,3725
2018-09-29 10:00:00,4059
2018-09-29 11:00:00,4378
2018-09-29 12:00:00,4657
2018-09-29 13:00:00,4553
2018-09-29 14:00:00,4618
2018-09-29 15:00:00,4564
2018-09-29 16:00:00,4735
2018-09-29 17:00:00,4878
2018-09-29 18:00:00,4569
2018-09-29 19:00:00,3818
2018-09-29 20:00:00,3338
2018-09-29 21:00:00,2950
2018-09-29 22:00:00,2607
2018-09-29 23:00:00,3856
2018-09-30 00:00:00,1826
2018-09-30 01:00:00,920
2018-09-30 02:00:00,696
2018-09-30 03:00:00,364
2018-09-30 04:00:00,335
2018-09-30 05:00:00,444
2018-09-30 06:00:00,802
2018-09-30 07:00:00,1175
2018-09-30 08:00:00,2002
2018-09-30 09:00:00,2882
2018-09-30 10:00:00,3701
2018-09-30 11:00:00,4049
2018-09-30 12:00:00,4429
2018-09-30 13:00:00,4547
2018-09-30 14:00:00,4380
2018-09-30 15:00:00,4302
2018-09-30 16:00:00,4283
2018-09-30 17:00:00,4132
2018-09-30 18:00:00,3947
2018-09-30 19:00:00,3543
2018-09-30 20:00:00,2781
2018-09-30 21:00:00,2159
2018-09-30 22:00:00,1450
2018-09-30 23:00:00,954
